,SeriesID,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,FootNote,Nature,Units,Reporting Type,Observation Status,Bioclimatic Belt,ISOalpha3,Type,SeriesCode
0,1,Proportion of degraded mountain land,070,BIH,2018,0.002953498682693858,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Total,,Region,XXXX
0,1,Proportion of degraded mountain land,084,BLZ,2015,0.019640852141412472,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Remaining mountain area,,Region,XXXX
0,1,Proportion of degraded mountain land,084,BLZ,2015,0.019640852141412472,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Total,,Region,XXXX
0,1,Proportion of degraded mountain land,084,BLZ,2018,0.0005065903693935968,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Remaining mountain area,,Region,XXXX
0,1,Proportion of degraded mountain land,084,BLZ,2018,0.0005065903693935968,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Total,,Region,XXXX
1,1,Proportion of degraded mountain land,068,BOL,2015,0.007029123020856679,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Alpine,,Region,XXXX
2,1,Proportion of degraded mountain land,068,BOL,2015,0.007599342807751657,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Montane,,Region,XXXX
0,1,Proportion of degraded mountain land,068,BOL,2015,,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Nival,,Region,XXXX
3,1,Proportion of degraded mountain land,068,BOL,2015,0.01086006872074838,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Remaining mountain area,,Region,XXXX
0,1,Proportion of degraded mountain land,068,BOL,2015,0.008496178183118904,2000-2015,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Total,,Region,XXXX
1,1,Proportion of degraded mountain land,068,BOL,2018,0.004071414386915387,2015-2018,Food and Agriculture Organisation of United Nations (FAO),FAO estimate,G,PERCENT,G,A,Alpine,,Region,XXXX
